UserId, DisplayName, PostCount, CommentCount, TotalScore
381, Emre, 440, 1246, 684
836, Neil Slater, 1180, 1199, 544
471, Spacedman, 111, 325, 177
28175, Vaalizaadeh, 1249, 839, 170
21, Sean Owen, 1193, 345, 150
8820, Martin Thoma, 648, 277, 132
35644, Aditya, 221, 627, 123
924, Anony-Mousse, 447, 463, 117
23305, oW_, 421, 255, 101
11097, Dawny33, 702, 285, 95
29587, JahKnows, 270, 350, 74
45264, n1k31t4, 591, 365, 73
2452, Aleksandr Blekh, 166, 159, 68
16853, Ricardo Cruz, 118, 132, 68
8878, Kasra Manshaei, 281, 171, 66
14904, Jan van der Vegt, 267, 197, 66
55122, Ben Reiniger, 176, 215, 59
71442, Peter, 233, 248, 55
44456, TwinPenguins, 165, 188, 54
9420, AN6U5, 148, 118, 53
8005, Paul, 13, 56, 52
9123, SmallChess, 154, 151, 52
40853, Toros91, 326, 284, 51
1279, ffriend, 37, 79, 49
676, stmax, 47, 91, 49
67328, Esmailian, 861, 170, 48
33202, kbrose, 42, 152, 42
29575, Stephen Rauch, 1810, 82, 40
44139, Ankit Seth, 79, 120, 40
23240, I_Play_With_Data, 226, 156, 39
34269, Djib2011, 103, 56, 35
52291, Simon Larsson, 323, 120, 35
322, Air, 48, 38, 35
26562, timleathart, 241, 79, 35
6550, Valentas, 48, 75, 34
13748, Mephy, 67, 50, 33
27250, horaceT, 34, 67, 32
26394, Kiritee Gak, 99, 101, 32
19161, Hobbes, 54, 96, 32
59085, user2974951, 17, 91, 31
201, Tasos, 286, 78, 31
156, Marco13, 10, 12, 31
45507, Elias Strehle, 97, 66, 30
13727, DaL, 116, 96, 30
8560, D.W., 134, 163, 29
51714, ignatius, 116, 116, 29
92, cwharland, 9, 19, 29
14675, ncasas, 179, 88, 28
7980, image_doctor, 35, 93, 26
71219, aranglol, 90, 95, 26
515, Dirk Eddelbuettel, 3, 9, 26
57453, keiv.fly, 61, 79, 26
4683, David Marx, 138, 74, 26
14006, user12075, 74, 70, 26
50727, David Masip, 228, 141, 25
84, Rubens, 173, 44, 24
45374, bradS, 111, 72, 24
64377, Erwan, 128, 184, 24
70066, Pedro Henrique Monforte, 78, 89, 23
17208, debzsud, 65, 42, 22
3466, sheldonkreger, 52, 48, 22
62, asheeshr, 15, 11, 21
18626, Constantinos, 48, 61, 21
12473, jamesmf, 97, 80, 21
15828, Imran, 131, 82, 21
27432, S van Balen, 56, 94, 21
15527, K3---rnc, 77, 78, 20
33194, xiaohan2012, 12, 1, 20
53479, mapto, 67, 108, 20
843, Franck Dernoncourt, 198, 44, 19
43077, Kari, 584, 100, 19
1156, shadowtalker, 34, 73, 19
947, David, 10, 21, 18
13413, Kyle., 187, 47, 18
108, rapaio, 79, 23, 18
10372, gented, 10, 33, 17
15412, Nain, 113, 76, 17
25157, Eskapp, 38, 22, 17
